,AUC_knn,nazwy
0,0.9414634146341463,BreastCancer
1,0.898989898989899,ecoli
2,0.8153846153846154,Glass
3,0.7169811320754716,Ionosphere
4,0.9555555555555556,iris
5,0.7229437229437229,pimaDiabetes_norm
6,0.6187050359712231,SAheart
7,0.873015873015873,seeds
8,0.873015873015873,sonar-all-data
9,0.78059377262853,spam
10,0.9532163742690059,wdbc
11,0.6111111111111112,Wine
12,0.8933333333333333,wine_1
13,0.8733333333333333,wine_2
14,0.8683333333333333,wine_3
15,0.7683333333333333,wine_4
16,0.436,wine_5
