,AUC_lda,nazwy
0,0.9512195121951219,BreastCancer
1,0.8787878787878788,ecoli
2,0.6923076923076923,Glass
3,0.8018867924528302,Ionosphere
4,0.9777777777777777,iris
5,0.7575757575757576,pimaDiabetes_norm
6,0.7122302158273381,SAheart
7,0.9682539682539683,seeds
8,0.7777777777777778,sonar-all-data
9,0.8971759594496741,spam
10,0.9473684210526315,wdbc
11,0.9814814814814815,Wine
12,0.9933333333333333,wine_1
13,1.0,wine_2
14,0.9166666666666666,wine_3
15,0.8433333333333334,wine_4
16,0.5266666666666666,wine_5
