,nazwy,AUC_drzewa,AUC_lda,AUC_knn
0,BreastCancer,0.9609756097560975,0.9512195121951219,0.9414634146341463
1,ecoli,0.8080808080808081,0.8787878787878788,0.898989898989899
2,Glass,0.7538461538461538,0.6923076923076923,0.8153846153846154
3,Ionosphere,0.9716981132075472,0.8018867924528302,0.7169811320754716
4,iris,1.0,0.9777777777777777,0.9555555555555556
5,pimaDiabetes_norm,0.7316017316017316,0.7575757575757576,0.7229437229437229
6,SAheart,0.60431654676259,0.7122302158273381,0.6187050359712231
7,seeds,0.9365079365079365,0.9682539682539683,0.873015873015873
8,sonar-all-data,0.7619047619047619,0.7777777777777778,0.873015873015873
9,spam,0.9377262853005068,0.8971759594496741,0.78059377262853
10,wdbc,0.9649122807017544,0.9473684210526315,0.9532163742690059
11,Wine,0.9814814814814815,0.9814814814814815,0.6111111111111112
12,wine_1,0.9666666666666667,0.9933333333333333,0.8933333333333333
13,wine_2,0.98,1.0,0.8733333333333333
14,wine_3,0.97,0.9166666666666666,0.8683333333333333
15,wine_4,0.8216666666666667,0.8433333333333334,0.7683333333333333
16,wine_5,0.5133333333333333,0.5266666666666666,0.436
